#wavelength,trans1p3p,trans1p3e,trans0p0e,atm1p0
##double,double,double,double,double
2980,0.0000,0.0000,0.0000,0.0727
3005,0.0001,0.0001,0.0014,0.0992
3030,0.0005,0.0005,0.0071,0.1308
3055,0.0013,0.0013,0.0127,0.1673
3080,0.0026,0.0026,0.0198,0.2075
3105,0.0052,0.0052,0.0314,0.2470
3130,0.0093,0.0093,0.0464,0.2862
3155,0.0161,0.0161,0.0629,0.3444
3180,0.0240,0.0240,0.0794,0.3920
3205,0.0323,0.0323,0.0949,0.4300
3230,0.0405,0.0405,0.1093,0.4585
3255,0.0485,0.0485,0.1229,0.4817
3280,0.0561,0.0561,0.1352,0.5007
3305,0.0634,0.0634,0.1458,0.5189
3330,0.0700,0.0700,0.1545,0.5351
3355,0.0756,0.0756,0.1617,0.5486
3380,0.0803,0.0803,0.1679,0.5581
3405,0.0848,0.0848,0.1737,0.5669
3430,0.0883,0.0883,0.1786,0.5727
3455,0.0917,0.0917,0.1819,0.5812
3480,0.0959,0.0959,0.1842,0.5959
3505,0.1001,0.1001,0.1860,0.6112
3530,0.1029,0.1029,0.1870,0.6221
3555,0.1044,0.1044,0.1868,0.6294
3580,0.1053,0.1053,0.1862,0.6350
3605,0.1063,0.1063,0.1858,0.6406
3630,0.1075,0.1075,0.1853,0.6476
3655,0.1085,0.1085,0.1841,0.6553
3680,0.1084,0.1084,0.1812,0.6631
3705,0.1064,0.1064,0.1754,0.6702
3730,0.1024,0.1024,0.1669,0.6763
3755,0.0966,0.0966,0.1558,0.6815
3780,0.0887,0.0887,0.1419,0.6863
3805,0.0787,0.0787,0.1247,0.6912
3830,0.0672,0.0672,0.1054,0.6965
3855,0.0549,0.0549,0.0851,0.7023
3880,0.0413,0.0413,0.0634,0.7088
3905,0.0268,0.0268,0.0405,0.7158
3930,0.0145,0.0145,0.0216,0.7235
3955,0.0075,0.0075,0.0110,0.7315
3980,0.0042,0.0042,0.0062,0.7393
4005,0.0022,0.0022,0.0032,0.7464
4030,0.0010,0.0010,0.0015,0.7526
4055,0.0006,0.0006,0.0008,0.7581
4080,0.0004,0.0004,0.0006,0.7631
4105,0.0002,0.0002,0.0003,0.7680
4130,0.0000,0.0000,0.0000,0.7727
3630,0.0000,0.0000,0.0000,0.6476
3655,0.0003,0.0003,0.0005,0.6553
3680,0.0008,0.0008,0.0013,0.6631
3705,0.0013,0.0013,0.0022,0.6702
3730,0.0019,0.0019,0.0030,0.6763
3755,0.0024,0.0024,0.0039,0.6815
3780,0.0034,0.0034,0.0055,0.6863
3805,0.0055,0.0055,0.0087,0.6912
3830,0.0103,0.0103,0.0162,0.6965
3855,0.0194,0.0194,0.0301,0.7023
3880,0.0326,0.0326,0.0500,0.7088
3905,0.0492,0.0492,0.0745,0.7158
3930,0.0686,0.0686,0.1024,0.7235
3955,0.0900,0.0900,0.1324,0.7315
3980,0.1123,0.1123,0.1629,0.7393
4005,0.1342,0.1342,0.1924,0.7464
4030,0.1545,0.1545,0.2191,0.7526
4055,0.1722,0.1722,0.2419,0.7581
4080,0.1873,0.1873,0.2609,0.7631
4105,0.2003,0.2003,0.2767,0.7680
4130,0.2116,0.2116,0.2899,0.7727
4155,0.2214,0.2214,0.3010,0.7774
4180,0.2301,0.2301,0.3105,0.7820
4205,0.2378,0.2378,0.3186,0.7862
4230,0.2448,0.2448,0.3258,0.7902
4255,0.2513,0.2513,0.3324,0.7940
4280,0.2574,0.2574,0.3385,0.7976
4305,0.2633,0.2633,0.3442,0.8013
4330,0.2691,0.2691,0.3496,0.8049
4355,0.2747,0.2747,0.3548,0.8087
4380,0.2801,0.2801,0.3596,0.8124
4405,0.2852,0.2852,0.3640,0.8161
4430,0.2899,0.2899,0.3678,0.8199
4455,0.2940,0.2940,0.3709,0.8235
4480,0.2979,0.2979,0.3736,0.8271
4505,0.3016,0.3016,0.3763,0.8305
4530,0.3055,0.3055,0.3792,0.8337
