#wl,fl,unc,lq,uq,n
##double,double,double,double,double,int
701.5000,9.18000,3.16525,4.3620,34.7220,23
702.5000,10.07400,1.20740,5.7340,17.8080,25
703.5000,15.15800,2.08508,7.8200,31.4100,32
704.5000,13.36700,2.35636,5.2530,29.7410,27
705.5000,27.38800,3.58905,11.3380,45.7630,23
706.5000,12.70400,1.88182,2.1430,20.5810,24
707.5000,12.30300,1.66805,3.4950,21.1480,28
708.5000,13.05000,1.68824,4.4830,20.6760,23
709.5000,10.81700,1.09799,5.2570,16.8770,28
710.5000,10.43500,1.43704,2.6610,17.3160,26
711.5000,10.66800,1.59117,2.6560,21.4830,35
712.5000,13.33500,1.62564,6.8620,25.8200,34
713.5000,10.50600,1.97780,4.2730,24.0510,25
714.5000,9.58600,1.84028,3.9720,22.0030,24
715.5000,12.63400,1.79953,6.1650,26.8400,33
716.5000,10.42400,1.52464,5.9470,24.4950,37
717.5000,11.61400,1.36667,4.9570,21.3570,36
718.5000,7.07100,0.91542,3.6230,14.6080,36
719.5000,10.49400,1.09833,4.9010,19.1370,42
720.5000,10.56900,1.44039,3.0850,21.5310,41
721.5000,9.70200,1.14772,3.5350,17.8700,39
722.5000,6.79000,0.76951,2.2510,11.3560,35
723.5000,9.41200,0.95330,3.1690,15.8160,44
724.5000,5.03600,1.19715,3.1630,17.1240,34
725.5000,7.18600,0.96644,2.7470,13.6810,32
726.5000,13.42700,1.64809,4.1610,22.8070,32
727.5000,11.93000,1.22688,6.6360,22.1550,40
728.5000,5.77800,1.02196,2.4070,14.4990,35
729.5000,7.89000,1.24517,3.7170,19.6630,41
730.5000,9.85900,1.38416,3.7870,22.1500,44
731.5000,9.02100,1.35270,2.6930,17.7560,31
732.5000,7.25400,1.03733,2.8500,14.7680,33
733.5000,8.67600,1.37621,3.5550,19.1250,32
734.5000,6.99300,0.77315,2.7810,12.3130,38
735.5000,8.44000,0.95011,3.7820,16.5290,45
736.5000,6.01600,0.78629,2.7990,12.4930,38
737.5000,8.77600,0.79824,5.1960,14.2270,32
738.5000,5.60700,1.07102,1.8960,16.4240,46
739.5000,7.08000,0.97730,2.8230,14.8720,38
740.5000,5.30400,0.63650,3.1170,11.3670,42
741.5000,7.88000,0.83950,2.7970,13.8070,43
742.5000,7.55800,0.96239,1.7940,14.2680,42
743.5000,7.24900,0.61325,2.8510,11.6100,51
744.5000,7.69300,0.77542,3.3050,12.9900,39
745.5000,5.83700,0.59971,3.1170,11.1630,45
746.5000,6.17700,0.82011,2.3670,13.2470,44
747.5000,6.29200,0.49479,3.2860,10.3530,51
748.5000,4.79300,0.44264,3.1680,9.6130,53
749.5000,4.18700,0.47233,2.3800,8.7170,45
750.5000,5.04900,0.84393,2.4760,13.5440,43
751.5000,6.80800,0.89042,2.6860,15.8930,55
752.5000,7.57000,0.66294,3.8800,13.0660,48
753.5000,4.70800,0.57786,1.6950,10.2660,55
754.5000,5.78300,0.80154,1.9010,13.4610,52
755.5000,5.35800,0.38217,3.2290,9.0500,58
756.5000,5.12500,0.45438,3.2870,9.9650,54
757.5000,4.87200,0.64725,2.4830,12.8390,64
758.5000,7.26200,0.89128,3.7270,16.4570,51
759.5000,6.82200,0.49838,2.3160,9.7750,56
760.5000,7.25600,0.56998,3.3470,12.3230,62
761.5000,6.17000,0.59786,2.8740,11.3290,50
