zspec u-g g-r r-i i-z u-slope g-slope uerr gerr rerr ierr zerr u-slopeerr g-slopeerr
0.4745 0.1932 -0.0035 0.2535 0.2271 0.0048 0.0526 0.0434 0.0220 0.0312 0.0055 0.1214 0.0350 0.0250 
2.1985 0.4047 0.1295 0.1574 0.3372 -0.0371 0.0015 0.1499 0.0130 0.0665 0.0945 0.1063 0.0350 0.0250 
3.9134 1.2617 1.3006 0.1063 0.1634 0.0235 -0.0288 0.5637 0.1263 0.0068 0.0376 0.1331 0.0350 0.0250 
0.5653 0.2078 0.0125 0.3135 0.1710 -0.0128 0.0360 0.0628 0.0198 0.0278 0.0072 0.1334 0.0350 0.0250 
2.3349 0.4326 0.0421 0.0996 0.3043 0.0115 0.0256 0.1312 0.0748 0.0323 0.0373 0.0471 0.0350 0.0250 
3.9406 1.4928 1.0562 0.1383 0.1172 0.0095 -0.0148 0.4634 0.1288 0.0771 0.0420 0.3093 0.0350 0.0250 
1.0976 0.1268 0.3510 -0.0084 0.1953 0.0394 0.0059 0.0755 0.0279 0.0474 0.0440 0.0079 0.0350 0.0250 
1.8401 0.0498 0.0507 0.3167 0.2421 0.0315 0.0258 0.1810 0.0071 0.0277 0.0196 0.1265 0.0350 0.0250 
0.9711 0.2215 0.2765 0.0088 0.2933 -0.0291 -0.0031 0.1286 0.0207 0.0236 0.0058 0.0896 0.0350 0.0250 
3.6240 2.4521 0.8935 0.1410 0.1441 -0.0333 -0.0390 0.4912 0.0207 0.0271 0.0852 0.0833 0.0350 0.0250 
1.4998 0.0590 0.1685 0.2365 0.1583 -0.0268 0.0291 0.1697 0.0067 0.0154 0.0235 0.1326 0.0350 0.0250 
2.6816 0.6538 0.2332 -0.0360 0.3118 -0.0397 0.0143 0.1564 0.0423 0.0260 0.0563 0.0169 0.0350 0.0250 
3.2897 1.7521 0.4079 -0.0287 0.2992 -0.0354 -0.0482 0.3749 0.0174 0.0859 0.1093 0.0485 0.0350 0.0250 
3.1342 1.3914 0.2654 -0.0417 0.0830 -0.0403 -0.0457 0.3513 0.0329 0.0491 0.0665 0.1042 0.0350 0.0250 
2.1429 0.1764 0.0075 0.0676 0.4153 -0.0540 0.0092 0.0837 0.0155 0.0375 0.0583 0.1027 0.0350 0.0250 
2.1697 0.2077 0.1163 0.0627 0.3713 -0.0553 -0.0214 0.1553 0.0326 0.0260 0.0227 0.1344 0.0350 0.0250 
0.7329 0.3015 0.1641 -0.0658 0.2386 0.0216 0.0082 0.1761 0.0225 0.0219 0.0290 0.1536 0.0350 0.0250 
0.4108 0.3376 0.1350 0.2159 0.3126 -0.0067 0.0341 0.0736 0.0270 0.0301 0.0156 0.0603 0.0350 0.0250 
3.3318 2.5108 0.5541 0.0206 0.2906 -0.0261 -0.0368 0.3276 0.0546 0.0649 0.0592 0.2482 0.0350 0.0250 
0.4156 0.4499 0.1801 0.2756 0.2051 0.0062 0.0319 0.0524 0.0231 0.0260 0.0095 0.0629 0.0350 0.0250 
2.7483 0.7024 0.2839 -0.0174 0.2997 -0.0245 0.0092 0.0832 0.0777 0.0726 0.0406 0.1380 0.0350 0.0250 
3.8505 1.6283 1.1151 0.0952 0.1087 -0.0040 -0.0055 0.4996 0.0623 0.0150 0.0287 0.0614 0.0350 0.0250 
0.6395 0.3894 0.1492 0.1341 0.2763 -0.0120 0.0013 0.0891 0.0184 0.0150 0.0428 0.0903 0.0350 0.0250 
1.5231 0.0495 0.1275 0.1608 0.1603 0.0141 0.0459 0.0308 0.0366 0.0399 0.0326 0.1613 0.0350 0.0250 
1.9920 0.0533 -0.0731 0.2223 0.4294 -0.0405 0.0093 0.2135 0.0439 0.0289 0.0196 0.2300 0.0350 0.0250 
2.3708 0.3674 0.1226 0.0026 0.4273 0.0073 0.0189 0.2377 0.0350 0.0463 0.0911 0.0613 0.0350 0.0250 
2.1431 0.1339 0.2031 0.1779 0.3935 -0.0619 -0.0046 0.0832 0.0146 0.0668 0.0382 0.1097 0.0350 0.0250 
3.7069 2.4834 1.2580 0.0519 0.2728 -0.0152 -0.0174 0.5145 0.1192 0.0087 0.0409 0.1660 0.0350 0.0250 
1.2201 0.1114 0.3365 0.0241 0.1118 0.0180 0.0260 0.0875 0.0349 0.0079 0.0355 0.0490 0.0350 0.0250 
1.1433 0.1117 0.3897 -0.0628 0.0614 0.0492 0.0126 0.1189 0.0484 0.0334 0.0096 0.1511 0.0350 0.0250 
3.6338 2.3343 0.9040 0.1388 0.0501 -0.0268 -0.0267 0.3833 0.0912 0.0429 0.0586 0.1717 0.0350 0.0250 
3.4738 2.3176 0.5992 0.2206 0.2888 -0.0061 0.0191 0.2449 0.0766 0.0400 0.0145 0.1838 0.0350 0.0250 
3.4066 1.8876 0.4730 0.0167 0.2023 -0.0117 -0.0525 0.3931 0.0158 0.0611 0.0346 0.1057 0.0350 0.0250 
1.6370 0.1626 0.0939 0.2899 0.1452 0.0534 0.0613 0.0668 0.0313 0.0275 0.0438 0.1016 0.0350 0.0250 
2.7969 0.7522 0.1435 0.0275 0.1998 -0.0396 0.0025 0.1483 0.0247 0.0605 0.0845 0.1771 0.0350 0.0250 
1.0559 0.0991 0.3524 0.0192 0.0325 0.0068 0.0094 0.0609 0.0194 0.0229 0.0425 0.0869 0.0350 0.0250 
3.2387 1.6546 0.3079 0.1921 -0.1295 -0.0476 -0.0375 0.2253 0.0459 0.0745 0.1255 0.1033 0.0350 0.0250 
3.0288 1.7383 0.2909 0.0400 0.1099 -0.0875 0.0325 0.4225 0.0179 0.0525 0.0496 0.0681 0.0350 0.0250 
3.4590 2.1342 0.7730 0.2511 0.1235 -0.0033 0.0010 0.2708 0.0647 0.0465 0.0822 0.1121 0.0350 0.0250 
1.6588 0.2058 0.0934 0.3217 0.2054 0.0443 0.0409 0.0998 0.0388 0.0551 0.0164 0.0989 0.0350 0.0250 
3.1182 1.4501 0.2898 0.0234 -0.0609 -0.0278 -0.0248 0.1792 0.0600 0.0500 0.0926 0.2386 0.0350 0.0250 
3.3686 1.3507 0.3687 0.0682 0.3017 -0.0348 -0.0653 0.3119 0.0563 0.0537 0.0989 0.2122 0.0350 0.0250 
1.8725 0.1062 0.0614 0.2185 0.2067 0.0182 0.0309 0.0604 0.0251 0.0558 0.0084 0.0720 0.0350 0.0250 
2.2945 0.5426 0.0553 -0.0002 0.4135 -0.0227 0.0153 0.1267 0.0236 0.0492 0.0876 0.1371 0.0350 0.0250 
2.1124 0.2286 0.1307 0.0754 0.3594 -0.0573 -0.0298 0.1505 0.0388 0.0624 0.0516 0.0697 0.0350 0.0250 
1.5629 0.2086 0.1529 0.2240 0.2965 0.0298 0.0360 0.0722 0.0576 0.0480 0.0284 0.1506 0.0350 0.0250 
1.8539 0.0393 -0.0753 0.2532 0.0858 0.0504 0.0392 0.0818 0.0310 0.0512 0.0511 0.0878 0.0350 0.0250 
