obsTimes,filter,absFlux
0,r,4.0837875161
0,g,4.0837875161
0.9998879944,r,4.1958523218
0.9998879944,g,4.1958523218
2.0002199888,r,4.2095352631
2.0002199888,g,4.2095352631
3.0001079832,r,4.290120125
3.0001079832,g,4.290120125
3.9999959776,r,4.2239928674
3.9999959776,g,4.2239928674
4.999883972,r,4.3111165814
4.999883972,g,4.3111165814
6.0002159664,r,4.2561367496
6.0002159664,g,4.2561367496
7.0001039608,r,4.4276159161
7.0001039608,g,4.4276159161
7.9999919553,r,4.4574098765
7.9999919553,g,4.4574098765
8.9998799497,r,4.5739050748
8.9998799497,g,4.5739050748
10.0002119441,r,4.5268239107
10.0002119441,g,4.5268239107
11.0000999385,r,4.5759831821
11.0000999385,g,4.5759831821
11.9999879329,r,4.7614749259
11.9999879329,g,4.7614749259
12.9998759273,r,4.8868852037
12.9998759273,g,4.8868852037
14.0002079217,r,4.8019201271
14.0002079217,g,4.8019201271
15.0000959161,r,4.7553328633
15.0000959161,g,4.7553328633
15.9999839105,r,4.8440451703
15.9999839105,g,4.8440451703
16.9998719049,r,5.0158052891
16.9998719049,g,5.0158052891
18.0002038993,r,5.0044656154
18.0002038993,g,5.0044656154
19.0000918937,r,4.8824821535
19.0000918937,g,4.8824821535
19.9999798881,r,5.0356123562
19.9999798881,g,5.0356123562
20.9998678825,r,5.2865897051
20.9998678825,g,5.2865897051
22.000199877,r,5.2795079555
22.000199877,g,5.2795079555
23.0000878714,r,5.3365185787
23.0000878714,g,5.3365185787
23.9999758658,r,5.1740059556
23.9999758658,g,5.1740059556
24.9998638602,r,4.9945410003
24.9998638602,g,4.9945410003
26.0001958546,r,4.9848071965
26.0001958546,g,4.9848071965
27.000083849,r,5.107696312
27.000083849,g,5.107696312
27.9999718434,r,5.2590428346
27.9999718434,g,5.2590428346
28.9998598378,r,5.0377724408
28.9998598378,g,5.0377724408
30.0001918322,r,5.0893647837
30.0001918322,g,5.0893647837
31.0000798266,r,5.0174008321
31.0000798266,g,5.0174008321
31.999967821,r,5.0520805743
31.999967821,g,5.0520805743
32.9998558154,r,5.0572413038
32.9998558154,g,5.0572413038
34.0001878098,r,4.6825258083
34.0001878098,g,4.6825258083
35.0000758042,r,4.788937963
35.0000758042,g,4.788937963
35.9999637986,r,4.6283466598
35.9999637986,g,4.6283466598
36.9998517931,r,4.6944518051
36.9998517931,g,4.6944518051
38.0001837875,r,4.8010446165
38.0001837875,g,4.8010446165
39.0000717819,r,4.9071287359
39.0000717819,g,4.9071287359
39.9999597763,r,5.2092065667
39.9999597763,g,5.2092065667
40.9998477707,r,4.8751938778
40.9998477707,g,4.8751938778
42.0001797651,r,4.7908915002
42.0001797651,g,4.7908915002
43.0000677595,r,4.9270157547
43.0000677595,g,4.9270157547
43.9999557539,r,5.0837466919
43.9999557539,g,5.0837466919
44.9998437483,r,5.181832796
44.9998437483,g,5.181832796
46.0001757427,r,5.3624150519
46.0001757427,g,5.3624150519
47.0000637371,r,5.375801532
47.0000637371,g,5.375801532
47.9999517315,r,5.3785391639
47.9999517315,g,5.3785391639
48.9998397259,r,5.3514132077
48.9998397259,g,5.3514132077
50.0001717203,r,5.4572338522
50.0001717203,g,5.4572338522
51.0000597148,r,5.4729822814
51.0000597148,g,5.4729822814
51.9999477092,r,5.5483824317
51.9999477092,g,5.5483824317
52.9998357036,r,5.6063068791
52.9998357036,g,5.6063068791
54.000167698,r,5.4734311081
54.000167698,g,5.4734311081
55.0000556924,r,5.5618702381
55.0000556924,g,5.5618702381
55.9999436868,r,5.5834383363
55.9999436868,g,5.5834383363
56.9998316812,r,5.6437288818
56.9998316812,g,5.6437288818
58.0001636756,r,5.6808663274
58.0001636756,g,5.6808663274
59.00005167,r,5.5133920603
59.00005167,g,5.5133920603
59.9999396644,r,5.4941283846
59.9999396644,g,5.4941283846
60.9998276588,r,5.7127422174
60.9998276588,g,5.7127422174
62.0001596532,r,5.8860462741
62.0001596532,g,5.8860462741
63.0000476476,r,5.7376603751
63.0000476476,g,5.7376603751
63.999935642,r,5.5910693665
63.999935642,g,5.5910693665
64.9998236365,r,5.5330188457
64.9998236365,g,5.5330188457
66.0001556309,r,5.4442662132
66.0001556309,g,5.4442662132
67.0000436253,r,5.5755313561
67.0000436253,g,5.5755313561
67.9999316197,r,5.7854910026
67.9999316197,g,5.7854910026
68.9998196141,r,5.9309264464
68.9998196141,g,5.9309264464
70.0001516085,r,5.7814960864
70.0001516085,g,5.7814960864
71.0000396029,r,5.7953469697
71.0000396029,g,5.7953469697
71.9999275973,r,6.0362982746
71.9999275973,g,6.0362982746
72.9998155917,r,5.9397005227
72.9998155917,g,5.9397005227
74.0001475861,r,5.974603001
74.0001475861,g,5.974603001
75.0000355805,r,6.0097055143
75.0000355805,g,6.0097055143
75.9999235749,r,5.8225263392
75.9999235749,g,5.8225263392
76.9998115693,r,5.8033757425
76.9998115693,g,5.8033757425
78.0001435637,r,5.8834185401
78.0001435637,g,5.8834185401
79.0000315581,r,5.7529342344
79.0000315581,g,5.7529342344
79.9999195526,r,5.9350897291
79.9999195526,g,5.9350897291
80.999807547,r,5.975741029
80.999807547,g,5.975741029
