obsTimes,absFlux
0,4.0837875161
0.9998879944,4.1958523218
2.0002199888,4.2095352631
3.0001079832,4.290120125
3.9999959776,4.2239928674
4.999883972,4.3111165814
6.0002159664,4.2561367496
7.0001039608,4.4276159161
7.9999919553,4.4574098765
8.9998799497,4.5739050748
10.0002119441,4.5268239107
11.0000999385,4.5759831821
11.9999879329,4.7614749259
12.9998759273,4.8868852037
14.0002079217,4.8019201271
15.0000959161,4.7553328633
15.9999839105,4.8440451703
16.9998719049,5.0158052891
18.0002038993,5.0044656154
19.0000918937,4.8824821535
19.9999798881,5.0356123562
20.9998678825,5.2865897051
22.000199877,5.2795079555
23.0000878714,5.3365185787
23.9999758658,5.1740059556
24.9998638602,4.9945410003
26.0001958546,4.9848071965
27.000083849,5.107696312
27.9999718434,5.2590428346
28.9998598378,5.0377724408
30.0001918322,5.0893647837
31.0000798266,5.0174008321
31.999967821,5.0520805743
32.9998558154,5.0572413038
34.0001878098,4.6825258083
35.0000758042,4.788937963
35.9999637986,4.6283466598
36.9998517931,4.6944518051
38.0001837875,4.8010446165
39.0000717819,4.9071287359
39.9999597763,5.2092065667
40.9998477707,4.8751938778
42.0001797651,4.7908915002
43.0000677595,4.9270157547
43.9999557539,5.0837466919
44.9998437483,5.181832796
46.0001757427,5.3624150519
47.0000637371,5.375801532
47.9999517315,5.3785391639
48.9998397259,5.3514132077
50.0001717203,5.4572338522
51.0000597148,5.4729822814
51.9999477092,5.5483824317
52.9998357036,5.6063068791
54.000167698,5.4734311081
55.0000556924,5.5618702381
55.9999436868,5.5834383363
56.9998316812,5.6437288818
58.0001636756,5.6808663274
59.00005167,5.5133920603
59.9999396644,5.4941283846
60.9998276588,5.7127422174
62.0001596532,5.8860462741
63.0000476476,5.7376603751
63.999935642,5.5910693665
64.9998236365,5.5330188457
66.0001556309,5.4442662132
67.0000436253,5.5755313561
67.9999316197,5.7854910026
68.9998196141,5.9309264464
70.0001516085,5.7814960864
71.0000396029,5.7953469697
71.9999275973,6.0362982746
72.9998155917,5.9397005227
74.0001475861,5.974603001
75.0000355805,6.0097055143
75.9999235749,5.8225263392
76.9998115693,5.8033757425
78.0001435637,5.8834185401
79.0000315581,5.7529342344
79.9999195526,5.9350897291
80.999807547,5.975741029
82.0001395414,5.7399318752
83.0000275358,5.8802606289
83.9999155302,5.9414260335
84.9998035246,6.0682958194
86.000135519,6.1266104751
87.0000235134,6.2865932054
87.9999115078,6.2336525489
88.9997995022,6.302311662
90.0001314966,6.436129798
91.000019491,6.3218660088
91.9999074854,6.3386692385
92.9997954798,6.4022442505
94.0001274742,6.3152650127
95.0000154687,6.3202351749
95.9999034631,6.2453392054
96.9997914575,6.341347757
98.0001234519,6.4982978542
99.0000114463,6.2100042551
99.9998994407,6.3609227067
100.9997874351,6.1922567072
102.0001194295,6.344883437
103.0000074239,6.5230001729
103.9998954183,6.5919750175
104.9997834127,6.6522493469
106.0001154071,6.5474788312
107.0000034015,6.4323573313
107.9998913959,6.4845989903
108.9997793904,6.3294146164
110.0001113848,6.3199167224
110.9999993792,6.1692957056
111.9998873736,6.1778712517
113.000219368,6.1552993703
114.0001073624,6.2871310523
114.9999953568,6.1072979492
115.9998833512,6.4880535025
117.0002153456,6.7833250159
118.00010334,6.4934229932
118.9999913344,6.6559835988
119.9998793288,6.6916533267
121.0002113232,6.7186560054
122.0000993176,6.7039170021
122.9999873121,6.6195011177
123.9998753065,6.8119658423
125.0002073009,6.8581950353
126.0000952953,6.7270146934
126.9999832897,6.6136473388
127.9998712841,6.6614059154
129.0002032785,6.808936262
130.0000912729,6.8389487161
130.9999792673,7.0334323319
131.9998672617,7.061437849
133.0001992561,7.2801876706
134.0000872505,7.3569975935
134.9999752449,7.8246395571
135.9998632393,7.540592349
137.0001952337,7.5700633978
138.0000832282,7.7403489611
138.9999712226,7.5579927806
139.999859217,7.2954064103
141.0001912114,7.3641204353
142.0000792058,7.3474258927
142.9999672002,7.1987584716
143.9998551946,7.3107054185
145.000187189,7.2470929191
146.0000751834,7.3927108807
146.9999631778,7.3048123663
147.9998511722,7.6239333304
149.0001831666,7.6975415815
150.000071161,7.523725647
150.9999591554,7.4401457863
151.9998471499,7.6537440657
153.0001791443,7.8452545332
154.0000671387,7.8318971996
154.9999551331,7.6585079651
155.9998431275,7.9762231399
157.0001751219,8.2289886581
158.0000631163,8.1463756558
158.9999511107,7.9531396971
159.9998391051,7.858345662
161.0001710995,7.8524274286
162.0000590939,7.9725127924
162.9999470883,7.9889775509
163.9998350827,7.8263758511
165.0001670771,7.9164783663
166.0000550715,7.9393044167
166.999943066,8.1129340265
167.9998310604,7.8255298658
