expDate,night,expMJD,fiveSigmaDepth,filter,obsTimes,absFlux,fluxErr
15589304,180,59760.43176,22.088572,z,0,6.7575642371,0.067953064
15590450,180,59760.445023,22.037498,z,0.0133119999,6.7685672211,0.0679992289
16446700,190,59770.355327,21.921016,y,9.9236798882,6.7355525361,0.0680185242
16447291,190,59770.362167,24.264669,r,9.9303358881,6.8460648048,0.0679906106
16447328,190,59770.362595,24.271422,r,9.9307518881,6.7394255314,0.0679961599
16447365,190,59770.363023,24.295974,r,9.9311678881,6.8302854673,0.06799065
16447402,190,59770.363451,24.301388,r,9.9315838881,6.8192951863,0.0679878641
16447438,190,59770.363868,24.306702,r,9.9319998881,6.837761586,0.0679844491
16447475,190,59770.364296,24.312179,r,9.9324158881,6.8920390489,0.0679879384
16447511,190,59770.364713,24.317569,r,9.9328318881,6.7668990063,0.067997349
16447548,190,59770.365141,24.323123,r,9.9336638881,6.8690846495,0.0680154336
16447585,190,59770.365569,24.328731,r,9.934079888,6.8808676968,0.0680162536
16447622,190,59770.365998,24.334378,r,9.934495888,6.8459098299,0.0680286781
16447659,190,59770.366426,24.414023,r,9.934911888,6.7460217818,0.0680256829
16447696,190,59770.366854,24.419757,r,9.935327888,6.8686859664,0.0680246524
16447733,190,59770.367282,24.425535,r,9.935743888,6.7607725344,0.0680205662
16447770,190,59770.367711,24.431358,r,9.936159888,6.7903450196,0.0680177932
16447807,190,59770.368139,24.437227,r,9.936575888,6.8653648332,0.0680191955
16447844,190,59770.368567,24.443142,r,9.936991888,6.753843907,0.0680259706
16447881,190,59770.368995,24.449107,r,9.937407888,6.7214718314,0.0680245939
16447917,190,59770.369412,24.454967,r,9.937823888,6.6711223247,0.068015004
16447953,190,59770.369829,24.405274,r,9.938239888,6.873125947,0.0680125883
16447990,190,59770.370257,24.411378,r,9.938655888,6.7212268056,0.0680082246
16448144,190,59770.372039,24.750416,g,9.940319888,6.8755971027,0.0680291561
16448181,190,59770.372468,24.757628,g,9.940735888,6.91064779,0.0680281212
16448218,190,59770.372896,24.763849,g,9.941151888,6.8115517955,0.0680362481
16448255,190,59770.373324,24.730344,g,9.941567888,6.7764558409,0.0680351333
16448292,190,59770.373752,24.736675,g,9.941983888,6.8579291069,0.0680377692
16448329,190,59770.374181,24.743064,g,9.942399888,6.8601657808,0.0680376409
16448366,190,59770.374609,24.749511,g,9.942815888,6.9357386526,0.0680342682
16448403,190,59770.375037,24.756019,g,9.9432318879,6.9160057234,0.0680370636
16448440,190,59770.375465,24.762587,g,9.9436478879,6.7216993128,0.0680380577
16448477,190,59770.375894,24.76922,g,9.9440638879,6.8414926653,0.0680340056
16448631,190,59770.377676,23.854709,i,9.9461438879,6.7851540499,0.0680122682
16448668,190,59770.378104,23.853136,i,9.9465598879,6.8506284695,0.0680038469
16448704,190,59770.378521,23.860603,i,9.9469758879,6.8133965691,0.068002941
16448741,190,59770.378949,23.868356,i,9.9473918879,6.814731365,0.0680083249
16448777,190,59770.379366,23.876002,i,9.9478078879,6.7595193829,0.0680078058
16448814,190,59770.379794,23.883946,i,9.9482238879,6.6824117654,0.0680025732
16448850,190,59770.380211,23.891782,i,9.9486398879,6.7842260715,0.0680037265
16448887,190,59770.380639,23.940987,i,9.9490558879,6.7342339476,0.0680130933
16448923,190,59770.381056,23.949025,i,9.9494718879,6.8552812701,0.0680055347
16448959,190,59770.381472,23.957161,i,9.9498878879,6.8493824832,0.0680018892
