expDate,night,expMJD,fiveSigmaDepth,filter,obsTimes,absFlux,fluxErr
15589304,180,59760.43176,22.088572,z,0,6.544304485,0.0654670164
15590450,180,59760.445023,22.037498,z,0.0133119999,6.4522219845,0.0654708584
16446700,190,59770.355327,21.921016,y,9.9236798882,6.8456091918,0.0682881268
16447291,190,59770.362167,24.264669,r,9.9303358881,6.8036756258,0.0682951393
16447328,190,59770.362595,24.271422,r,9.9307518881,6.7482165232,0.0682932583
16447365,190,59770.363023,24.295974,r,9.9311678881,6.7520129659,0.0682926501
16447402,190,59770.363451,24.301388,r,9.9315838881,6.9740129943,0.0682932473
16447438,190,59770.363868,24.306702,r,9.9319998881,6.7944624006,0.0682893201
16447475,190,59770.364296,24.312179,r,9.9324158881,6.8966272935,0.0682977373
16447511,190,59770.364713,24.317569,r,9.9328318881,6.8382743834,0.0683043199
16447548,190,59770.365141,24.323123,r,9.9336638881,6.7767765031,0.0683047277
16447585,190,59770.365569,24.328731,r,9.934079888,6.8299284067,0.0683058171
16447622,190,59770.365998,24.334378,r,9.934495888,6.8379436544,0.0682988662
16447659,190,59770.366426,24.414023,r,9.934911888,6.7460893713,0.0683054073
16447696,190,59770.366854,24.419757,r,9.935327888,6.820040592,0.0682993548
16447733,190,59770.367282,24.425535,r,9.935743888,6.8891453948,0.0682957267
16447770,190,59770.367711,24.431358,r,9.936159888,6.8711204523,0.0682986465
16447807,190,59770.368139,24.437227,r,9.936575888,6.8521052491,0.0683107768
16447844,190,59770.368567,24.443142,r,9.936991888,6.7670425362,0.0683060435
16447881,190,59770.368995,24.449107,r,9.937407888,6.9088678273,0.0683066812
16447917,190,59770.369412,24.454967,r,9.937823888,6.8573302943,0.0683073414
16447953,190,59770.369829,24.405274,r,9.938239888,6.9249391389,0.0683042855
16447990,190,59770.370257,24.411378,r,9.938655888,6.9455501284,0.068297224
16448144,190,59770.372039,24.750416,g,9.940319888,6.7811779272,0.0683014984
16448181,190,59770.372468,24.757628,g,9.940735888,6.8195999361,0.0683042151
16448218,190,59770.372896,24.763849,g,9.941151888,6.8047797753,0.0683053822
16448255,190,59770.373324,24.730344,g,9.941567888,6.8458713206,0.0682988026
16448292,190,59770.373752,24.736675,g,9.941983888,6.8799352919,0.0682973952
16448329,190,59770.374181,24.743064,g,9.942399888,6.8852303895,0.0682963995
16448366,190,59770.374609,24.749511,g,9.942815888,6.8442947469,0.0682961206
16448403,190,59770.375037,24.756019,g,9.9432318879,6.8143399948,0.0682928515
16448440,190,59770.375465,24.762587,g,9.9436478879,6.7812290609,0.0682852999
16448477,190,59770.375894,24.76922,g,9.9440638879,6.9512364974,0.0682880418
16448631,190,59770.377676,23.854709,i,9.9461438879,6.8371814718,0.0682887981
16448668,190,59770.378104,23.853136,i,9.9465598879,6.6493053409,0.0682777031
16448704,190,59770.378521,23.860603,i,9.9469758879,6.8761047243,0.0682827811
16448741,190,59770.378949,23.868356,i,9.9473918879,6.806038018,0.0682952818
16448777,190,59770.379366,23.876002,i,9.9478078879,6.7645653903,0.068307037
16448814,190,59770.379794,23.883946,i,9.9482238879,6.899356996,0.068301417
16448850,190,59770.380211,23.891782,i,9.9486398879,6.8273136603,0.0683005702
16448887,190,59770.380639,23.940987,i,9.9490558879,6.7971903766,0.0683008491
16448923,190,59770.381056,23.949025,i,9.9494718879,6.7637850142,0.0682970691
16448959,190,59770.381472,23.957161,i,9.9498878879,6.8578306074,0.0682964514
16448995,190,59770.381889,23.965406,i,9.9503038879,6.9057026205,0.0682952475
16449031,190,59770.382306,23.97376,i,9.9507198879,6.8649689616,0.0683026157
16449068,190,59770.382734,23.98246,i,9.9511358879,6.8028211327,0.0683045665
16449105,190,59770.383162,23.99129,i,9.9515518879,6.9114539868,0.0683115612
16449142,190,59770.38359,23.992948,i,9.9519678878,6.8081391194,0.0683136344
16449179,190,59770.384019,23.9975,i,9.9523838878,6.8313418483,0.0683208927
16449216,190,59770.384447,23.997643,i,9.9527998878,6.7837618442,0.0683251978
16449253,190,59770.384875,23.997781,i,9.9532158878,6.7577483372,0.0683271391
16449290,190,59770.385303,23.997912,i,9.9536318878,6.9183921235,0.0683314874
16449327,190,59770.385732,23.998039,i,9.9540478878,6.898326905,0.0683332004
16449481,190,59770.387514,23.46068,z,9.9557118878,6.7787365938,0.068319699
16449518,190,59770.387942,23.4287,z,9.9561278878,6.7953776523,0.0683187664
16449555,190,59770.38837,23.428793,z,9.9565438878,6.80684562,0.0683166958
16449592,190,59770.388799,23.42888,z,9.9569598878,6.8619416374,0.0683063611
16449628,190,59770.389215,23.428962,z,9.9573758878,6.6618841145,0.0683044558
16449664,190,59770.389632,23.429036,z,9.9577918878,6.8719153103,0.0683045591
16449701,190,59770.39006,23.429107,z,9.9582078878,6.9612281124,0.0682969755
16449738,190,59770.390488,23.429173,z,9.9586238878,6.9127205891,0.0682951054
16449775,190,59770.390917,23.353046,z,9.9590398878,6.9041007614,0.0682905585
16449811,190,59770.391333,23.353102,z,9.9594558878,6.7198800146,0.0682964567
16449848,190,59770.391762,23.353152,z,9.9602878878,6.8157686112,0.0682974181
16449885,190,59770.39219,23.353198,z,9.9607038877,6.8239494305,0.068295871
16449922,190,59770.392618,23.353238,z,9.9611198877,6.7649617892,0.0682952956
16449959,190,59770.393046,23.353273,z,9.9615358877,6.9473983799,0.0682879208
16449996,190,59770.393475,23.353304,z,9.9619518877,6.8726834402,0.0682798946
16450033,190,59770.393903,23.353328,z,9.9623678877,6.82000838,0.0682874784
16450070,190,59770.394331,23.263074,z,9.9627838877,6.8396691942,0.0682972325
16450107,190,59770.394759,23.263088,z,9.9631998877,6.6990190854,0.0682966181
16450144,190,59770.395188,23.263098,z,9.9636158877,7.0054661662,0.0682979814
16450181,190,59770.395616,23.263102,z,9.9640318877,6.8404382977,0.0682969524
16450217,190,59770.396032,23.2631,z,9.9644478877,6.8954187684,0.0682997687
16450253,190,59770.396449,23.263095,z,9.9648638877,6.8865228948,0.0682976969
16450289,190,59770.396866,23.263084,z,9.9652798877,6.8292014885,0.0682938147
16450325,190,59770.397282,23.263069,z,9.9656958877,6.921858277,0.0682900403
16450361,190,59770.397699,23.22765,z,9.9661118877,6.787082555,0.0683044544
16450397,190,59770.398116,23.227624,z,9.9665278877,6.8172746102,0.0682996108
16450551,190,59770.399898,21.753571,y,9.9681918877,6.8446807316,0.0682852343
16450587,190,59770.400315,21.753433,y,9.9686078877,6.9078488262,0.0682923543
16450623,190,59770.400732,21.753391,y,9.9690238877,6.789014287,0.0682864563
16450659,190,59770.401148,21.826675,y,9.9694398877,6.8360500943,0.0682891208
16450695,190,59770.401565,21.826626,y,9.9698558876,6.8674175527,0.0682835503
16450731,190,59770.401982,21.826573,y,9.9702718876,6.8129611294,0.0682812668
16450767,190,59770.402398,21.826518,y,9.9706878876,6.7588429676,0.0682812605
16450803,190,59770.402815,21.826458,y,9.9711038876,7.0307722049,0.0682773606
16450839,190,59770.403232,21.826394,y,9.9715198876,6.7905325016,0.0682764679
16450875,190,59770.403648,21.826328,y,9.9719358876,6.8093243527,0.0682764028
16450911,190,59770.404065,21.826256,y,9.9723518876,6.8442344527,0.0682742749
16450947,190,59770.404482,21.826182,y,9.9727678876,6.748000948,0.0682754725
16450983,190,59770.404898,21.870924,y,9.9731838876,6.8841187839,0.0682806406
16451019,190,59770.405315,21.870842,y,9.9735998876,6.7592778162,0.0682872508
16451055,190,59770.405732,21.870757,y,9.9740158876,6.8183053053,0.0682838041
16451091,190,59770.406148,21.870669,y,9.9744318876,6.7778646154,0.0682887513
16451127,190,59770.406565,21.870576,y,9.9748478876,6.9137187718,0.0682897693
16451163,190,59770.406982,21.87048,y,9.9752638876,6.8298710614,0.0682823801
16451199,190,59770.407398,21.87038,y,9.9756798876,6.7587338402,0.0682804025
16451235,190,59770.407815,21.870278,y,9.9760958876,6.8622537954,0.0682900731
16702667,193,59773.317909,21.852082,y,12.8864318548,7.0594262886,0.0692451938
16704157,193,59773.335153,21.851404,y,12.9034878546,6.92277929,0.0692999522
16798898,194,59774.431696,21.95749,z,14.0000638422,6.9738032717,0.0697373039
16799930,194,59774.443643,22.23428,z,14.0121278421,7.1263732334,0.0697604853
16885183,195,59775.430369,21.883536,z,14.998879831,6.9868375231,0.0696255615
17139849,198,59778.377885,22.797034,i,17.9462397977,6.9758276773,0.0703661464
17140984,198,59778.391024,22.727571,i,17.9591357976,7.0804563514,0.0704065265
17225412,199,59779.368204,21.588094,y,18.9363197866,7.0208296547,0.0703551331
17225586,199,59779.370215,21.545699,y,18.9383997866,7.1100318996,0.0703661021
17227809,199,59779.395949,23.611369,r,18.9641917863,7.105562166,0.0703812224
17227845,199,59779.396365,23.561419,r,18.9646077863,7.0028325958,0.0703773847
17227881,199,59779.396782,23.561161,r,18.9650237863,6.9000701945,0.0703835337
17227917,199,59779.397199,23.560898,r,18.9654397863,7.0575643402,0.0703877983
17227953,199,59779.397615,23.454046,r,18.9658557863,7.1402466243,0.0703906631
17227989,199,59779.398032,23.453772,r,18.9662717863,7.1193710242,0.0703916444
17228025,199,59779.398449,23.453494,r,18.9666877862,7.0341004664,0.0703846708
17228061,199,59779.398865,23.453211,r,18.9671037862,7.0284357705,0.0703878295
17228097,199,59779.399282,23.452923,r,18.9675197862,7.0258406565,0.0703969517
17228133,199,59779.399699,23.45263,r,18.9679357862,7.1056041107,0.0703942939
17228169,199,59779.400115,23.452332,r,18.9683517862,7.0216369526,0.0703982078
17228205,199,59779.400532,23.452028,r,18.9687677862,7.0489906328,0.0703930024
17228241,199,59779.400949,23.451721,r,18.9691837862,7.1451026358,0.0703984256
17228277,199,59779.401365,23.495419,r,18.9695997862,7.1146248739,0.0703988264
17228313,199,59779.401782,23.4951,r,18.9700157862,7.0659597634,0.0703918693
