night,expDate,fiveSigmaDepth,filter,fieldDec,fieldRA,expMJD,obsTimes,absFlux,fluxErr
3,266243,23.196984,u,-0.441474,1.011712,59583.081518,0,6.9675215912,0.0692786973
4,355161,23.353786,u,-0.493128,1.033665,59584.110662,1.0291919942,6.9071228735,0.0696289683
8,699721,21.585248,y,-0.441474,1.011712,59588.098629,5.0171999719,7.0592963462,0.0706550762
8,699764,21.591766,y,-0.493128,1.033665,59588.099127,5.0176439719,7.1061224023,0.0706515213
9,795037,23.26137,i,-0.441474,1.011712,59589.201819,6.1205399658,6.9570572543,0.0704456107
10,867945,21.871891,y,-0.441474,1.011712,59590.045663,6.9641399611,7.0444607854,0.070176255
11,958547,22.65524,z,-0.441474,1.011712,59591.094303,8.0128679552,7.1331205774,0.0702716073
11,958590,22.694526,z,-0.493128,1.033665,59591.094795,8.0133119552,6.987611029,0.0702714044
11,960386,22.685024,z,-0.441474,1.011712,59591.11559,8.0341799551,7.0661654042,0.0702313389
11,960427,22.728186,z,-0.493128,1.033665,59591.116061,8.0346239551,6.9653289345,0.0702339243
17,1475572,21.454737,y,-0.441474,1.011712,59597.078383,13.9970999217,6.8891788944,0.0696404459
17,1475690,21.46072,y,-0.493128,1.033665,59597.079747,13.9984319217,6.9906647548,0.0696345257
17,1476167,21.567435,y,-0.493128,1.033665,59597.085273,14.0037599217,6.8480312262,0.0696300951
18,1560751,22.388552,z,-0.493128,1.033665,59598.064257,14.9827799162,7.0352043637,0.069445335
18,1562484,22.304034,z,-0.493128,1.033665,59598.08431,15.0027599161,6.9376096528,0.0694880127
18,1564785,22.045556,z,-0.441474,1.011712,59598.110948,15.0293999159,6.8643221436,0.0694886648
18,1566847,22.019258,z,-0.441474,1.011712,59598.134806,15.0533759158,6.8718061614,0.0695137033
50,4321736,21.802028,y,-0.493128,1.033665,59630.020098,46.9387917375,7.3738493592,0.0721143794
61,5271135,21.577259,z,-0.493128,1.033665,59641.008511,57.927347676,7.0674369291,0.0705872111
61,5271678,21.648024,z,-0.441474,1.011712,59641.014802,57.933563676,6.9831449714,0.0705887568
61,5272151,21.609639,z,-0.493128,1.033665,59641.020275,57.9388916759,7.119022823,0.0706004854
65,5616559,21.865915,z,-0.441474,1.011712,59645.006479,61.9251236536,7.08735893,0.0708601689
65,5616598,21.923656,z,-0.493128,1.033665,59645.006932,61.9255676536,7.0513446961,0.0708658357
69,5963338,21.449106,y,-0.493128,1.033665,59649.020121,65.9388836312,7.1183660937,0.0712775729
69,5963377,21.421689,y,-0.441474,1.011712,59649.020567,65.9393276312,7.2608993333,0.0712746708
70,6048841,21.347682,y,-0.441474,1.011712,59650.009736,66.9285596257,7.0979846321,0.0711136383
73,6307632,21.018702,y,-0.493128,1.033665,59653.005005,69.9237836089,6.9459297085,0.0709060998
73,6307671,20.992644,y,-0.441474,1.011712,59653.005453,69.9242276089,7.0246710067,0.0709076802
81,6998311,21.738655,z,-0.441474,1.011712,59660.99898,77.9175595642,7.0227699415,0.071036125
211,18261554,24.147118,g,-0.493128,1.033665,59791.36058,208.279066835,8.6624133744,0.0864986575
211,18261631,24.157812,g,-0.441474,1.011712,59791.361475,208.279954835,8.6282421566,0.0865058561
211,18262635,24.15574,g,-0.493128,1.033665,59791.373095,208.291942835,8.581702957,0.0864837439
211,18262712,24.166065,g,-0.441474,1.011712,59791.373991,208.292830835,8.6243304353,0.0864729979
222,19217146,21.685194,y,-0.493128,1.033665,59802.420673,219.339106773,8.32197111,0.0834255086
222,19217263,21.658134,y,-0.441474,1.011712,59802.422027,219.340882773,8.4924272867,0.0834391225
223,19298082,21.789883,y,-0.493128,1.033665,59803.357437,220.275946768,8.3470722703,0.0829395507
223,19299073,21.684424,y,-0.441474,1.011712,59803.368907,220.287490768,8.3234910621,0.0829095552
225,19470279,21.704783,y,-0.493128,1.033665,59805.350457,222.269062757,8.1859187869,0.0811190169
225,19470511,21.804918,y,-0.493128,1.033665,59805.353139,222.271726757,8.0835258426,0.0811045389
225,19471516,21.853126,y,-0.441474,1.011712,59805.364773,222.283270757,8.0074470412,0.0810598661
225,19471594,21.846618,y,-0.441474,1.011712,59805.365671,222.284158757,7.9947291257,0.0810541216
230,19902841,23.440429,i,-0.493128,1.033665,59810.356967,227.275606729,7.9156561409,0.0785196786
230,19904837,23.62671,i,-0.493128,1.033665,59810.380066,227.298694729,7.7149361931,0.0784889622
239,20674517,22.834379,u,-0.441474,1.011712,59819.288391,236.207110679,7.6924120982,0.0766864262
239,20674556,22.832089,u,-0.493128,1.033665,59819.288844,236.207554679,7.6752437523,0.0766718764
