night,expDate,fiveSigmaDepth,filter,fieldDec,fieldRA,expMJD,obsTimes,absFlux,fluxErr
3,266243,23.196984,u,-0.441474,1.011712,59583.081518,0,4.3442609312,0.043583472
4,355161,23.353786,u,-0.493128,1.033665,59584.110662,1.0291919942,4.3344373865,0.0433951907
8,699721,21.585248,y,-0.441474,1.011712,59588.098629,5.0171999719,4.536787753,0.0449706872
8,699764,21.591766,y,-0.493128,1.033665,59588.099127,5.0176439719,4.465047226,0.0449900647
9,795037,23.26137,i,-0.441474,1.011712,59589.201819,6.1205399658,4.4485051554,0.0463759089
10,867945,21.871891,y,-0.441474,1.011712,59590.045663,6.9641399611,4.5720108425,0.0456357017
11,958547,22.65524,z,-0.441474,1.011712,59591.094303,8.0128679552,4.5904644399,0.0460239582
11,958590,22.694526,z,-0.493128,1.033665,59591.094795,8.0133119552,4.533146727,0.0460132255
11,960386,22.685024,z,-0.441474,1.011712,59591.11559,8.0341799551,4.548767773,0.0457309467
11,960427,22.728186,z,-0.493128,1.033665,59591.116061,8.0346239551,4.5776698789,0.0457215706
17,1475572,21.454737,y,-0.441474,1.011712,59597.078383,13.9970999217,5.0316458883,0.0496775098
17,1475690,21.46072,y,-0.493128,1.033665,59597.079747,13.9984319217,5.0208530437,0.0496830578
17,1476167,21.567435,y,-0.493128,1.033665,59597.085273,14.0037599217,4.8785959438,0.0497495909
18,1560751,22.388552,z,-0.493128,1.033665,59598.064257,14.9827799162,4.9331003044,0.0498415904
18,1562484,22.304034,z,-0.493128,1.033665,59598.08431,15.0027599161,5.0465010421,0.0498389034
18,1564785,22.045556,z,-0.441474,1.011712,59598.110948,15.0293999159,4.9212773671,0.0497575528
18,1566847,22.019258,z,-0.441474,1.011712,59598.134806,15.0533759158,5.0438464919,0.0497633419
50,4321736,21.802028,y,-0.493128,1.033665,59630.020098,46.9387917375,5.3056109265,0.054071726
61,5271135,21.577259,z,-0.493128,1.033665,59641.008511,57.927347676,5.6505576664,0.0563737559
61,5271678,21.648024,z,-0.441474,1.011712,59641.014802,57.933563676,5.5752092984,0.0563544189
61,5272151,21.609639,z,-0.493128,1.033665,59641.020275,57.9388916759,5.6424301308,0.0562005486
65,5616559,21.865915,z,-0.441474,1.011712,59645.006479,61.9251236536,5.4337921264,0.0550351118
65,5616598,21.923656,z,-0.493128,1.033665,59645.006932,61.9255676536,5.4989999134,0.0550214325
69,5963338,21.449106,y,-0.493128,1.033665,59649.020121,65.9388836312,5.8608636006,0.0584773784
69,5963377,21.421689,y,-0.441474,1.011712,59649.020567,65.9393276312,5.7537813787,0.0584979469
70,6048841,21.347682,y,-0.441474,1.011712,59650.009736,66.9285596257,5.6643713097,0.0571528361
73,6307632,21.018702,y,-0.493128,1.033665,59653.005005,69.9237836089,5.845048456,0.0594148131
73,6307671,20.992644,y,-0.441474,1.011712,59653.005453,69.9242276089,5.889769342,0.0593622751
81,6998311,21.738655,z,-0.441474,1.011712,59660.99898,77.9175595642,5.8720333468,0.0588963882
211,18261554,24.147118,g,-0.493128,1.033665,59791.36058,208.279066835,7.1532087783,0.0727632253
211,18261631,24.157812,g,-0.441474,1.011712,59791.361475,208.279954835,7.3675517923,0.072802759
211,18262635,24.15574,g,-0.493128,1.033665,59791.373095,208.291942835,7.2728621079,0.0727020908
211,18262712,24.166065,g,-0.441474,1.011712,59791.373991,208.292830835,7.2121184901,0.0727287954
222,19217146,21.685194,y,-0.493128,1.033665,59802.420673,219.339106773,6.9279587905,0.0691298182
222,19217263,21.658134,y,-0.441474,1.011712,59802.422027,219.340882773,6.8828969511,0.0690998296
223,19298082,21.789883,y,-0.493128,1.033665,59803.357437,220.275946768,6.8940399844,0.0692200187
223,19299073,21.684424,y,-0.441474,1.011712,59803.368907,220.287490768,7.0470478793,0.0692358709
225,19470279,21.704783,y,-0.493128,1.033665,59805.350457,222.269062757,6.8376408329,0.0683424972
225,19470511,21.804918,y,-0.493128,1.033665,59805.353139,222.271726757,6.7616597247,0.0681824568
225,19471516,21.853126,y,-0.441474,1.011712,59805.364773,222.283270757,6.9302787744,0.0682176806
225,19471594,21.846618,y,-0.441474,1.011712,59805.365671,222.284158757,6.6340147186,0.0681494918
230,19902841,23.440429,i,-0.493128,1.033665,59810.356967,227.275606729,6.4906668742,0.0651988096
230,19904837,23.62671,i,-0.493128,1.033665,59810.380066,227.298694729,6.5100533823,0.0651948901
239,20674517,22.834379,u,-0.441474,1.011712,59819.288391,236.207110679,6.4575089712,0.0645773185
239,20674556,22.832089,u,-0.493128,1.033665,59819.288844,236.207554679,6.4282427588,0.0645358365
240,20767552,23.742949,i,-0.441474,1.011712,59820.36519,237.283810673,6.2188746915,0.0630189728
240,20769887,23.924634,i,-0.441474,1.011712,59820.392221,237.310894673,6.2486631713,0.0631798263
241,20846102,24.078082,r,-0.441474,1.011712,59821.274334,238.193122668,6.2886612868,0.06364113
241,20846179,24.079702,r,-0.493128,1.033665,59821.27523,238.194010668,6.3324947432,0.0636678108
241,20847357,24.039338,r,-0.441474,1.011712,59821.288866,238.207330668,6.4007439743,0.0637206032
241,20847435,24.039835,r,-0.493128,1.033665,59821.289761,238.208218668,6.4220350725,0.0637087413
241,20849040,23.968344,r,-0.493128,1.033665,59821.308335,238.226866668,6.4085335261,0.0639039301
241,20850031,23.854242,r,-0.493128,1.033665,59821.319806,238.238410668,6.3227629702,0.0638839287
255,22052885,21.806044,y,-0.441474,1.011712,59835.241733,252.16047459,6.1479272603,0.061871304
255,22053194,21.847259,y,-0.493128,1.033665,59835.24531,252.16402659,6.1909327698,0.0618835864
256,22142446,22.45307,z,-0.493128,1.033665,59836.278314,253.196770584,6.2367790255,0.0621164164
256,22143685,22.375114,z,-0.493128,1.033665,59836.292661,253.211422584,6.2344346985,0.0620910522
256,22144414,22.378087,z,-0.441474,1.011712,59836.301099,253.219858584,6.1438409374,0.0621392993
256,22145980,22.448818,z,-0.441474,1.011712,59836.319216,253.238062584,6.2904762405,0.0621082226
259,22405693,23.982442,r,-0.441474,1.011712,59839.325159,256.243942567,6.3480979316,0.0625187066
259,22407333,24.235672,r,-0.441474,1.011712,59839.344134,256.262590567,6.2746217387,0.0623395621
260,22485870,24.298616,r,-0.441474,1.011712,59840.253127,257.171902562,6.2132168506,0.0615975828
260,22487654,24.288458,r,-0.441474,1.011712,59840.273774,257.192326561,6.1854090293,0.0614154531
263,22745471,23.558707,i,-0.493128,1.033665,59843.25777,260.176450545,6.0640014096,0.0601481055
263,22747398,23.784371,i,-0.493128,1.033665,59843.280079,260.198650545,6.0079371461,0.0603935117
264,22830783,24.273685,r,-0.493128,1.033665,59844.245179,261.163906539,6.2376926961,0.0622884004
264,22832027,24.31129,r,-0.493128,1.033665,59844.259581,261.178114539,6.1407379402,0.0624721499
269,23259029,23.874237,r,-0.441474,1.011712,59849.20173,266.120278512,6.2283505999,0.0626055351
269,23260448,23.886783,r,-0.441474,1.011712,59849.218156,266.136706511,6.233616052,0.0626521235
270,23348911,23.496177,i,-0.441474,1.011712,59850.242034,267.160570506,6.3508221057,0.062335216
270,23349143,23.502276,i,-0.493128,1.033665,59850.244719,267.163234506,6.1735596207,0.0622669372
270,23350246,23.404372,i,-0.441474,1.011712,59850.257486,267.176110506,6.2537357552,0.0623543719
270,23350324,23.40383,i,-0.493128,1.033665,59850.258387,267.176998506,6.1539747696,0.0623233309
271,23432383,22.939893,u,-0.441474,1.011712,59851.208141,268.1267145,6.3446165251,0.0633361352
271,23432499,22.964447,u,-0.493128,1.033665,59851.209488,268.1280465,6.2904543738,0.0632720008
277,23954598,23.61342,i,-0.493128,1.033665,59857.252296,274.170886467,7.0612471065,0.0708824277
277,23955983,23.540445,i,-0.493128,1.033665,59857.268322,274.186870466,7.1004324881,0.0709212103
279,24120437,21.672762,y,-0.441474,1.011712,59859.17173,276.090298456,6.9746260542,0.0697267886
279,24120979,21.707676,y,-0.493128,1.033665,59859.177999,276.096514456,6.9612684143,0.069746978
281,24293050,21.452697,y,-0.493128,1.033665,59861.169569,278.088298445,6.7865308313,0.0677988554
281,24293284,21.468523,y,-0.441474,1.011712,59861.172269,278.090962445,6.7367980381,0.0678570384
281,24293438,21.444632,y,-0.441474,1.011712,59861.174059,278.092738445,6.8018541177,0.0679522348
283,24481833,22.638718,z,-0.493128,1.033665,59863.354558,280.273222432,6.6138662823,0.0670388688
283,24482108,22.622494,z,-0.441474,1.011712,59863.357732,280.276330432,6.6761030719,0.0670285126
283,24482750,22.546335,z,-0.493128,1.033665,59863.365164,280.283878432,6.6328828188,0.0669600587
283,24484200,22.271971,z,-0.441474,1.011712,59863.381954,280.300750432,6.6924368377,0.0666022958
284,24555615,22.334503,z,-0.441474,1.011712,59864.208508,281.127034428,6.8079511271,0.068199426
284,24557732,22.469048,z,-0.441474,1.011712,59864.233011,281.151454427,6.7396562973,0.0680584905
284,24558006,22.460128,z,-0.493128,1.033665,59864.236186,281.155006427,6.7946545253,0.068166862
284,24560192,22.587098,z,-0.493128,1.033665,59864.261488,281.180314427,6.6574290027,0.0680122545
286,24724760,22.993341,i,-0.493128,1.033665,59866.166204,283.084630417,6.5345714208,0.0662568021
286,24724914,23.000762,i,-0.441474,1.011712,59866.167993,283.086406417,6.5173954596,0.066238678
286,24725965,23.106111,i,-0.493128,1.033665,59866.180152,283.098838417,6.5625055711,0.0660424145
286,24726119,23.127277,i,-0.441474,1.011712,59866.181942,283.100614417,6.6676286774,0.0660641376
286,24730811,23.161071,i,-0.441474,1.011712,59866.236245,283.154782416,6.7984621346,0.0668441737
286,24732307,23.205088,i,-0.441474,1.011712,59866.253559,283.172098416,6.6385310802,0.0670176794
289,24982110,24.37503,r,-0.493128,1.033665,59869.144793,286.0634264,6.7578173285,0.0680377698
289,24982187,24.385028,r,-0.441474,1.011712,59869.145688,286.0643144,6.8989741605,0.0679893972
289,24983519,24.475568,r,-0.493128,1.033665,59869.161111,286.0798544,6.761679852,0.0680046055
289,24983597,24.484906,r,-0.441474,1.011712,59869.162006,286.0807424,6.7950505236,0.0680184224
295,25504915,24.210484,g,-0.441474,1.011712,59875.195781,292.114258366,7.0795707584,0.0700169715
295,25506325,24.572667,g,-0.441474,1.011712,59875.212098,292.130686366,6.9679414714,0.0701426164
296,25585834,23.021038,u,-0.493128,1.033665,59876.132349,293.051098361,7.032667379,0.0709433419
297,25671840,24.371887,r,-0.493128,1.033665,59877.12778,294.046546355,7.5212531247,0.0735009334
297,25672745,24.383579,r,-0.493128,1.033665,59877.138263,294.056758355,7.3942284068,0.0735627524
299,25849222,24.993408,g,-0.493128,1.033665,59879.180813,296.099602344,7.3825887347,0.073838373
299,25850933,25.074744,g,-0.493128,1.033665,59879.200623,296.119138344,7.3992847758,0.0735684491
315,27238044,23.150786,i,-0.441474,1.011712,59895.255146,312.173734254,7.7206084051,0.0760643443
315,27239278,23.255456,i,-0.441474,1.011712,59895.269426,312.187942254,7.6282294557,0.0759185056
324,27999686,22.928074,u,-0.441474,1.011712,59904.070448,320.988910205,7.2528766564,0.0729447153
327,28260126,24.14817,r,-0.493128,1.033665,59907.084799,324.003226188,7.670893851,0.0762317258
327,28261236,24.22775,r,-0.493128,1.033665,59907.097647,324.016102188,7.7074158235,0.0765153678
328,28348473,23.415723,i,-0.493128,1.033665,59908.107334,325.025758182,7.6684671708,0.0756453979
328,28350100,23.472834,i,-0.493128,1.033665,59908.126168,325.044850182,7.5988290347,0.0756477348
329,28427849,21.765286,z,-0.441474,1.011712,59909.026037,325.944838177,7.5985023785,0.0755271943
329,28427888,21.764846,z,-0.493128,1.033665,59909.026486,325.945282177,7.6017580018,0.075519383
329,28429259,23.022769,z,-0.441474,1.011712,59909.042352,325.960822177,7.4224693889,0.0754491717
329,28429298,23.021492,z,-0.493128,1.033665,59909.042804,325.961266177,7.5282263127,0.0754569232
334,28860915,21.437574,y,-0.493128,1.033665,59914.038375,330.957154149,7.7927301037,0.078317171
334,28861147,21.451586,y,-0.441474,1.011712,59914.041059,330.959818149,7.9302305113,0.0783445934
340,29381863,21.726726,y,-0.493128,1.033665,59920.067865,336.986674115,8.13588421,0.0818346834
346,29907993,24.45896,r,-0.441474,1.011712,59926.157338,343.076134081,7.6663072197,0.0773655355
346,29909291,24.300455,r,-0.441474,1.011712,59926.17235,343.090786081,7.7677899856,0.0773476935
346,29912339,24.251425,r,-0.441474,1.011712,59926.20763,343.126306081,7.8073451471,0.0774259503
348,30079489,24.426027,g,-0.441474,1.011712,59928.142243,345.06081407,7.7335418861,0.0777258461
348,30080996,24.288625,g,-0.441474,1.011712,59928.15968,345.07813007,7.8076948618,0.0774919308
350,30243458,21.712204,y,-0.493128,1.033665,59930.040024,346.958470059,8.1142036581,0.0788732249
352,30420503,25.007326,g,-0.493128,1.033665,59932.089163,349.007974048,8.0253520311,0.0806644788
352,30421869,25.190945,g,-0.493128,1.033665,59932.104968,349.023514048,7.9424156002,0.0807261377
359,31025774,23.752495,i,-0.441474,1.011712,59939.094616,356.013406009,7.6607561049,0.0769483549
359,31027794,23.604233,i,-0.441474,1.011712,59939.117994,356.036494009,7.5367236972,0.0766018995
364,31461324,23.793053,i,-0.493128,1.033665,59944.1357,361.054137981,7.8222752994,0.0769745522
364,31463179,23.759063,i,-0.493128,1.033665,59944.157175,361.07589398,7.7139398793,0.0771088568
366,31638754,22.779782,i,-0.441474,1.011712,59946.189292,363.108081969,7.7307665351,0.0766238461
366,31640809,22.862339,i,-0.441474,1.011712,59946.213071,363.131613969,7.5143186668,0.0766993596
367,31712245,22.16715,z,-0.441474,1.011712,59947.039877,363.958341964,7.5263809535,0.0756522337
367,31712364,22.16819,z,-0.493128,1.033665,59947.041256,363.959673964,7.4472403252,0.075614006
367,31713926,22.461265,z,-0.441474,1.011712,59947.059338,363.977877964,7.5335810237,0.0753348276
367,31714056,22.492653,z,-0.493128,1.033665,59947.060836,363.979653964,7.4265536514,0.0752940084
370,31977248,21.746362,y,-0.441474,1.011712,59950.107048,367.025493947,7.4522030182,0.0739608282
374,32325236,23.43095,i,-0.493128,1.033665,59954.134678,371.053461925,7.1205281339,0.0717341712
374,32327112,23.388169,i,-0.493128,1.033665,59954.156393,371.075217925,7.0936397828,0.071662415
385,33272558,24.357011,r,-0.493128,1.033665,59965.099061,382.017597863,6.8936545543,0.0692578335
385,33274603,23.823676,r,-0.493128,1.033665,59965.122729,382.041573863,6.9688520827,0.0694645097
395,34140317,23.242113,i,-0.441474,1.011712,59975.142558,392.061321807,6.7291533209,0.0666225998
398,34392591,22.093952,y,-0.441474,1.011712,59978.062403,394.981065791,6.4565143968,0.0655012476
398,34393289,22.103867,y,-0.493128,1.033665,59978.070475,394.989057791,6.6257006695,0.0655179277
399,34479780,21.974198,y,-0.441474,1.011712,59979.071534,395.990277785,6.636338508,0.0655224256
400,34570713,21.744558,y,-0.493128,1.033665,59980.123995,397.042557779,6.6265175736,0.0662827681
404,34908026,22.216145,z,-0.493128,1.033665,59984.028083,400.946649757,6.5833426971,0.0659496205
404,34908299,22.204237,z,-0.441474,1.011712,59984.031245,400.949757757,6.5585630449,0.0659291308
404,34909571,23.301121,z,-0.493128,1.033665,59984.045961,400.964409757,6.6701874693,0.0660003172
404,34909844,23.222615,z,-0.441474,1.011712,59984.049121,400.967961757,6.5476697687,0.0661135347
410,35430779,24.255331,r,-0.441474,1.011712,59990.078466,406.997037724,6.8641964978,0.0680982702
410,35432819,24.214187,r,-0.441474,1.011712,59990.102074,407.020569723,6.7492489013,0.0679055024
416,35943775,22.118046,z,-0.493128,1.033665,59996.015919,412.93464969,6.4628876785,0.0640845577
416,35945107,22.160432,z,-0.493128,1.033665,59996.031333,412.95018969,6.4481735865,0.0642515952
429,37067490,21.183225,y,-0.493128,1.033665,60009.021876,425.940297618,6.4484745686,0.0640464685
429,37067799,21.29672,y,-0.441474,1.011712,60009.025461,425.944293618,6.5359525563,0.0641154982
439,37929427,21.897811,z,-0.441474,1.011712,60018.998009,435.916533562,6.3042974651,0.0642482566
441,38103017,22.050092,z,-0.441474,1.011712,60021.00715,437.925633551,6.6297069432,0.0657104901
552,47729361,21.655594,y,-0.441474,1.011712,60132.423166,549.341660927,6.3124187589,0.0631012965
552,47730134,21.431778,y,-0.441474,1.011712,60132.432115,549.350540927,6.339971677,0.0631624478
560,48422154,22.138586,z,-0.441474,1.011712,60140.441603,557.360300883,6.1292824661,0.06071754
563,48679806,24.044439,r,-0.493128,1.033665,60143.423682,560.342204866,5.9760359857,0.0610963128
563,48681209,22.000642,z,-0.441474,1.011712,60143.439925,560.358632866,5.9415025074,0.0611306005
564,48765031,24.671263,g,-0.441474,1.011712,60144.410084,561.32877286,6.1117828937,0.0609954181
565,48851566,24.551399,g,-0.493128,1.033665,60145.411653,562.330436855,6.0483003171,0.0597181147
573,49542730,24.448651,r,-0.493128,1.033665,60153.411233,570.32998481,5.9991588663,0.0595917531
573,49542808,24.456199,r,-0.441474,1.011712,60153.412131,570.33087281,5.9421180738,0.0596431348
573,49543943,22.505721,r,-0.441474,1.011712,60153.425274,570.34374881,5.9928854769,0.0595458013
578,49972274,21.858895,y,-0.441474,1.011712,60158.38281,575.301452782,5.9735054414,0.0593170943
578,49972506,21.738281,y,-0.493128,1.033665,60158.385493,575.304116782,5.9205494007,0.0593302078
578,49972894,21.700179,y,-0.493128,1.033665,60158.389983,575.308556782,6.0013924086,0.0594064419
578,49974449,21.757783,y,-0.493128,1.033665,60158.407982,575.326760782,5.9543788587,0.0595297336
579,50056829,21.508322,y,-0.441474,1.011712,60159.361452,576.280028777,5.9176010576,0.0591170717
